11.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,0,0,1,Dubai International Cricket Stadium,122,Islamabad United,190
11.4,Peshawar Zalmi,Kamran Akmal,EJG Morgan,SR Watson,1,0,1,Dubai International Cricket Stadium,123,Islamabad United,190
11.5,Peshawar Zalmi,EJG Morgan,Kamran Akmal,SR Watson,1,0,1,Dubai International Cricket Stadium,124,Islamabad United,190
11.6,Peshawar Zalmi,Kamran Akmal,EJG Morgan,SR Watson,1,0,1,Dubai International Cricket Stadium,125,Islamabad United,190
12.1,Peshawar Zalmi,Kamran Akmal,EJG Morgan,Saeed Ajmal,1,0,1,Dubai International Cricket Stadium,126,Islamabad United,190
12.2,Peshawar Zalmi,EJG Morgan,Kamran Akmal,Saeed Ajmal,0,0,1,Dubai International Cricket Stadium,126,Islamabad United,190
12.3,Peshawar Zalmi,EJG Morgan,Kamran Akmal,Saeed Ajmal,0,0,2,Dubai International Cricket Stadium,126,Islamabad United,190
12.4,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,127,Islamabad United,190
12.5,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,128,Islamabad United,190
12.6,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,129,Islamabad United,190
13.1,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,1,0,2,Dubai International Cricket Stadium,130,Islamabad United,190
13.2,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Amad Butt,1,0,2,Dubai International Cricket Stadium,131,Islamabad United,190
13.3,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,2,0,2,Dubai International Cricket Stadium,133,Islamabad United,190
13.4,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,0,0,2,Dubai International Cricket Stadium,133,Islamabad United,190
13.5,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,2,0,2,Dubai International Cricket Stadium,135,Islamabad United,190
13.6,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,1,0,2,Dubai International Cricket Stadium,136,Islamabad United,190
14.1,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,137,Islamabad United,190
14.2,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,6,0,2,Dubai International Cricket Stadium,143,Islamabad United,190
14.3,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,0,0,2,Dubai International Cricket Stadium,143,Islamabad United,190
14.4,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,4,0,2,Dubai International Cricket Stadium,147,Islamabad United,190
14.5,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,148,Islamabad United,190
14.6,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1,0,2,Dubai International Cricket Stadium,149,Islamabad United,190
15.1,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Mohammad Sami,0,0,2,Dubai International Cricket Stadium,149,Islamabad United,190
15.2,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Mohammad Sami,1,0,2,Dubai International Cricket Stadium,150,Islamabad United,190
15.3,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Mohammad Sami,0,0,3,Dubai International Cricket Stadium,150,Islamabad United,190
15.4,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Sami,0,0,3,Dubai International Cricket Stadium,150,Islamabad United,190
15.5,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Sami,0,0,3,Dubai International Cricket Stadium,150,Islamabad United,190
15.6,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Sami,1,0,3,Dubai International Cricket Stadium,151,Islamabad United,190
16.1,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Irfan,0,0,3,Dubai International Cricket Stadium,151,Islamabad United,190
16.2,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Irfan,6,0,3,Dubai International Cricket Stadium,157,Islamabad United,190
16.3,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Irfan,0,0,3,Dubai International Cricket Stadium,157,Islamabad United,190
16.4,Peshawar Zalmi,DJG Sammy,Haris Sohail,Mohammad Irfan,0,0,4,Dubai International Cricket Stadium,157,Islamabad United,190
16.5,Peshawar Zalmi,Shahid Afridi,Haris Sohail,Mohammad Irfan,1,0,4,Dubai International Cricket Stadium,158,Islamabad United,190
16.6,Peshawar Zalmi,Haris Sohail,Shahid Afridi,Mohammad Irfan,0,4,4,Dubai International Cricket Stadium,162,Islamabad United,190
17.1,Peshawar Zalmi,Shahid Afridi,Haris Sohail,SR Watson,2,0,4,Dubai International Cricket Stadium,164,Islamabad United,190
17.2,Peshawar Zalmi,Shahid Afridi,Haris Sohail,SR Watson,1,0,4,Dubai International Cricket Stadium,165,Islamabad United,190
17.3,Peshawar Zalmi,Haris Sohail,Shahid Afridi,SR Watson,1,0,4,Dubai International Cricket Stadium,166,Islamabad United,190
